bayesian	('bayesian',)
digit~first~the	('the~first~digit', 'first~digit~the', 'the~digit~first', 'digit~the~first')
called~digit~first~the	('called~the~first~digit',)
first~law	('law~first',)
digit~first~law	('digit~law~first', 'law~first~digit', 'first~digit~law', 'first~law~digit')
phenomenon	('phenomenon',)
or~phenomenon	('phenomenon~or',)
digit~or~phenomenon	('digit~phenomenon~or',)
digit~first~or~phenomenon	('first~digit~phenomenon~or', 'digit~phenomenon~or~first')
leading	('leading',)
leading~or	('or~leading',)
leading~or~phenomenon	('phenomenon~or~leading',)
digit~leading~or~phenomenon	('digit~phenomenon~or~leading', 'phenomenon~or~leading~digit')
digit~leading	('leading~digit',)
digit~leading~or	('or~leading~digit',)
benford's	("benford's",)
benford's~phenomenon	("phenomenon~benford's",)
benford's~digit~phenomenon	("digit~phenomenon~benford's",)
benford's~digit~leading~phenomenon	("leading~digit~phenomenon~benford's",)
benford's~law	("benford's~law",)
benford's~law~phenomenon	("phenomenon~benford's~law",)
benford's~digit~law~phenomenon	("digit~phenomenon~benford's~law",)
states	('states',)
law~states	('law~states',)
benford's~law~states	("benford's~law~states",)
benford's~law~phenomenon~states	("phenomenon~benford's~law~states",)
that	('that',)
states~that	('states~that',)
law~states~that	('law~states~that',)
benford's~law~states~that	("benford's~law~states~that",)
in~that	('that~in', 'in~that')
in~states~that	('states~that~in',)
in~law~states~that	('law~states~that~in',)
listings	('listings',)
tables	('tables',)
listings~tables	('listings~tables',)
listings~tables~that	('that~listings~tables',)
of~tables	('tables~of',)
listings~of~tables	('listings~tables~of',)
etc	('etc',)
etc~the	('etc~the',)
etc~statistics~the	('statistics~etc~the',)
etc~of~statistics~the	('of~statistics~etc~the',)
tends	('tends',)
a~to	('a~to', 'to~a')
occur	('occur',)
occur~phenomenological	('phenomenological~occur',)
law~with	('law~with',)
law~phenomenological~with	('phenomenological~law~with',)
much	('much',)
greater	('greater',)
than	('than',)
phenomenological~than	('phenomenological~than',)
law~the	('law~the', 'the~law')
law~phenomenological~the	('phenomenological~law~the',)
expected	('expected',)
also~expected	('also~expected',)
also~expected~law	('law~also~expected',)
also~expected~law~phenomenological	('phenomenological~law~also~expected',)
ie	('ie',)
one	('one',)
one~the	('the~one', 'one~the')
called~one~the	('called~the~one',)
also~called~one~the	('also~called~the~one',)
out	('out',)
digit~out	('digit~out',)
digit~first~out	('first~digit~out',)
digit~first~out~the	('the~first~digit~out',)
law~of	('law~of', 'of~law')
digit~law~of	('digit~law~of',)
digit~first~law~of	('first~digit~law~of', 'law~first~digit~of', 'digit~law~first~of')
benford's~first	("first~benford's",)
benford's~first~law	("law~first~benford's",)
benford's~digit~first~law	("digit~law~first~benford's",)
digit~law	('digit~law', 'law~digit')
can~phenomenon	('phenomenon~can',)
can~digit~phenomenon	('digit~phenomenon~can',)
can~digit~first~phenomenon	('first~digit~phenomenon~can',)
be~or	('or~be', 'be~or')
be~or~phenomenon	('phenomenon~or~be',)
be~digit~or~phenomenon	('digit~phenomenon~or~be',)
digit~for	('digit~for',)
digit~for~leading	('leading~digit~for',)
instance	('instance',)
benford's~by	("benford's~by",)
benford's~by~phenomenon	("phenomenon~benford's~by",)
benford's~by~digit~phenomenon	("digit~phenomenon~benford's~by",)
examining	('examining',)
examining~law	('law~examining',)
benford's~examining~law	("benford's~law~examining",)
benford's~examining~law~phenomenon	("phenomenon~benford's~law~examining",)
states~tables	('states~tables',)
law~states~tables	('law~states~tables',)
benford's~law~states~tables	("benford's~law~states~tables",)
of~that	('that~of', 'of~that')
of~states~that	('states~that~of',)
law~of~states~that	('law~states~that~of',)
logarithms	('logarithms',)
noting	('noting',)
a~noting	('a~noting',)
phenomenological~that	('phenomenological~that',)
also~first	('also~first', 'first~also')
also~first~law	('law~also~first', 'law~first~also')
also~first~law~phenomenological	('phenomenological~law~also~first',)
pages	('pages',)
called~pages	('called~pages',)
also~called~pages	('also~called~pages',)
