bayesian	('bayesian',)
can~the~word	('the~word~can',)
handle	('handle',)
handle~quantile	('quantile~handle',)
handle~quantile~word	('word~quantile~handle',)
handle~quantile~the~word	('the~word~quantile~handle',)
all~has	('has~all',)
all~has~quantile	('quantile~has~all',)
all~has~quantile~word	('word~quantile~has~all',)
no~of	('no~of', 'of~no')
has~no~of	('has~no~of',)
has~no~of~quantile	('quantile~has~no~of',)
fewer~these	('fewer~these',)
fewer~no~these	('no~fewer~these',)
fewer~has~no~these	('has~no~fewer~these',)
but~than	('than~but',)
but~fewer~than	('fewer~than~but',)
but~fewer~no~than	('no~fewer~than~but',)
distinct~in	('distinct~in',)
distinct~in~two	('two~distinct~in',)
distinct~in~than~two	('than~two~distinct~in',)
in~meaning~the	('meaning~in~the',)
distinct~in~meaning~the	('distinct~meaning~in~the',)
empirical~probability	('probability~empirical',)
empirical~in~probability	('in~probability~empirical',)
empirical~in~meaning~probability	('meaning~in~probability~empirical',)
estimated	('estimated',)
estimated~word	('word~estimated',)
estimated~the~word	('the~word~estimated',)
cumulative~quantile	('quantile~cumulative',)
cumulative~quantile~word	('word~quantile~cumulative',)
cumulative~quantile~the~word	('the~word~quantile~cumulative',)
has~proportion	('has~proportion',)
has~proportion~quantile	('quantile~has~proportion',)
has~proportion~quantile~word	('word~quantile~has~proportion',)
fewer~the	('fewer~the',)
fewer~no~the	('no~fewer~the',)
fewer~has~no~the	('has~no~fewer~the',)
data~than	('than~data',)
data~fewer~than	('fewer~than~data',)
data~fewer~no~than	('no~fewer~than~data',)
set~two	('two~set',)
set~than~two	('than~two~set',)
fewer~set~than~two	('fewer~than~two~set',)
distinct~that	('distinct~that',)
distinct~that~two	('two~distinct~that',)
distinct~than~that~two	('than~two~distinct~that',)
does~meaning	('meaning~does',)
distinct~does~meaning	('distinct~meaning~does',)
distinct~does~meaning~two	('two~distinct~meaning~does',)
in~not	('in~not',)
in~meaning~not	('meaning~in~not',)
distinct~in~meaning~not	('distinct~meaning~in~not',)
exceed	('exceed',)
exceed~probability	('probability~exceed',)
exceed~in~probability	('in~probability~exceed',)
exceed~in~meaning~probability	('meaning~in~probability~exceed',)
any~specific	('specific~any',)
any~probability~specific	('probability~specific~any',)
any~in~probability~specific	('in~probability~specific~any',)
specified	('specified',)
elements~specified	('elements~specified',)
elements~specific~specified	('specific~elements~specified',)
elements~probability~specific~specified	('probability~specific~elements~specified',)
q2~the	('the~q2',)
in~q2~the	('in~the~q2',)
elements~in~q2~the	('elements~in~the~q2',)
is~range~the	('the~range~is',)
in~is~range~the	('in~the~range~is',)
essentially	('essentially',)
essentially~of	('of~essentially', 'essentially~of')
essentially~of~range	('range~of~essentially',)
essentially~of~range~the	('the~range~of~essentially',)
same~variate	('variate~same',)
of~same~variate	('of~variate~same',)
are~as	('are~as', 'as~are')
are~as~variate	('variate~are~as',)
called~q1	('called~q1',)
are~called~q1	('are~called~q1',)
are~called~q1~variate	('variate~are~called~q1',)
except~quantile	('quantile~except',)
called~except~quantile	('called~quantile~except',)
are~called~except~quantile	('are~called~quantile~except',)
and~that	('and~that', 'that~and')
and~quantile~that	('quantile~and~that',)
and~called~quantile~that	('called~quantile~and~that',)
are~evans	('evans~are',)
are~denoted~evans	('denoted~evans~are',)
and~are~denoted~evans	('and~denoted~evans~are',)
et~taken	('et~taken',)
et~evans~taken	('evans~et~taken',)
denoted~et~evans~taken	('denoted~evans~et~taken',)
al~at	('al~at',)
al~at~et	('et~al~at',)
al~at~et~evans	('evans~et~al~at',)
of~particular	('particular~of',)
of~particular~this	('this~particular~of',)
al~of~particular~this	('al~this~particular~of',)
discontinuity	('discontinuity',)
has~in	('has~in', 'in~has')
has~in~meaning	('meaning~has~in',)
has~in~meaning~particular	('particular~meaning~has~in',)
the~ties	('ties~the',)
close~the~ties	('close~ties~the',)
close~has~the~ties	('has~close~ties~the',)
quantile~the	('the~quantile', 'quantile~the')
has~observation	('has~observation',)
has~observation~quantile	('quantile~has~observation',)
has~observation~quantile~word	('word~quantile~has~observation',)
numbered	('numbered',)
no~numbered	('no~numbered',)
has~no~numbered	('has~no~numbered',)
has~no~numbered~quantile	('quantile~has~no~numbered',)
closest~fewer	('fewer~closest',)
closest~fewer~no	('no~fewer~closest',)
closest~fewer~has~no	('has~no~fewer~closest',)
than~to	('than~to',)
fewer~than~to	('fewer~than~to',)
fewer~no~than~to	('no~fewer~than~to',)
interpolation~quantile	('quantile~interpolation',)
interpolation~quantile~word	('word~quantile~interpolation',)
interpolation~quantile~the~word	('the~word~quantile~interpolation',)
divide~no	('no~divide',)
divide~has~no	('has~no~divide',)
divide~has~no~quantile	('quantile~has~no~divide',)
sample~than	('than~sample',)
fewer~sample~than	('fewer~than~sample',)
fewer~no~sample~than	('no~fewer~than~sample',)
range~two	('two~range',)
range~than~two	('than~two~range',)
fewer~range~than~two	('fewer~than~two~range',)
distinct~into	('distinct~into',)
distinct~into~two	('two~distinct~into',)
distinct~into~than~two	('than~two~distinct~into',)
vertices	('vertices',)
has~vertices	('has~vertices',)
has~quantile~vertices	('quantile~has~vertices',)
has~quantile~vertices~word	('word~quantile~has~vertices',)
into~than~two	('than~two~into',)
fewer~into~than~two	('fewer~than~two~into',)
regions	('regions',)
with~word	('word~with',)
the~with~word	('the~word~with',)
probability~quantile	('quantile~probability', 'probability~quantile')
probability~quantile~word	('word~quantile~probability',)
probability~quantile~the~word	('the~word~quantile~probability',)
it~word	('word~it',)
it~the~word	('the~word~it',)
quantile~was	('quantile~was',)
quantile~was~word	('word~quantile~was',)
quantile~the~was~word	('the~word~quantile~was',)
proposed	('proposed',)
has~proposed	('has~proposed',)
has~proposed~quantile	('quantile~has~proposed',)
has~proposed~quantile~word	('word~quantile~has~proposed',)
by~no	('no~by',)
by~has~no	('has~no~by',)
by~has~no~quantile	('quantile~has~no~by',)
fewer~weibull	('fewer~weibull',)
fewer~no~weibull	('no~fewer~weibull',)
fewer~has~no~weibull	('has~no~fewer~weibull',)
in~than	('than~in',)
fewer~in~than	('fewer~than~in',)
fewer~in~no~than	('no~fewer~than~in',)
and~than~two	('than~two~and',)
and~fewer~than~two	('fewer~than~two~and',)
mean~word	('word~mean',)
mean~the~word	('the~word~mean',)
has~q7	('has~q7',)
has~q7~quantile	('quantile~has~q7',)
has~q7~quantile~word	('word~quantile~has~q7',)
range~than	('than~range',)
fewer~range~than	('fewer~than~range',)
fewer~no~range~than	('no~fewer~than~range',)
exactly	('exactly',)
exactly~quantile	('quantile~exactly',)
exactly~quantile~word	('word~quantile~exactly',)
exactly~quantile~the~word	('the~word~quantile~exactly',)
left~quantile	('quantile~left',)
left~quantile~word	('word~quantile~left',)
left~quantile~the~word	('the~word~quantile~left',)
median~word	('word~median',)
median~the~word	('the~word~median',)
has~q9	('has~q9',)
has~q9~quantile	('quantile~has~q9',)
has~q9~quantile~word	('word~quantile~has~q9',)
fewer~used	('fewer~used',)
fewer~no~used	('no~fewer~used',)
fewer~has~no~used	('has~no~fewer~used',)
approximately~word	('word~approximately',)
approximately~the~word	('the~word~approximately',)
quantile~unbiased	('quantile~unbiased',)
quantile~unbiased~word	('word~quantile~unbiased',)
quantile~the~unbiased~word	('the~word~quantile~unbiased',)
estimate~has	('has~estimate',)
estimate~has~quantile	('quantile~has~estimate',)
estimate~has~quantile~word	('word~quantile~has~estimate',)
order~quantile	('quantile~order',)
order~quantile~word	('word~quantile~order',)
order~quantile~the~word	('the~word~quantile~order',)
fewer~percentile	('fewer~percentile',)
fewer~no~percentile	('no~fewer~percentile',)
fewer~has~no~percentile	('has~no~fewer~percentile',)
plotting~two	('two~plotting',)
plotting~than~two	('than~two~plotting',)
fewer~plotting~than~two	('fewer~than~two~plotting',)
meaning~probability	('meaning~probability',)
distinct~meaning~probability	('distinct~meaning~probability',)
distinct~meaning~probability~two	('two~distinct~meaning~probability',)
in~probability~quantile	('in~probability~quantile',)
in~meaning~probability~quantile	('meaning~in~probability~quantile',)
elements~quantile-quantile	('elements~quantile-quantile',)
elements~quantile-quantile~specific	('specific~elements~quantile-quantile',)
elements~probability~quantile-quantile~specific	('probability~specific~elements~quantile-quantile',)
four	('four',)
four~the	('the~four',)
four~of~the	('of~the~four',)
four~of~one~the	('one~of~the~four',)
divisions	('divisions',)
divisions~four	('four~divisions',)
divisions~four~the	('the~four~divisions', 'four~divisions~the')
divisions~four~of~the	('of~the~four~divisions', 'the~four~divisions~of')
divisions~of	('divisions~of',)
divisions~four~of	('four~divisions~of',)
observation~which	('observation~which',)
observation~of~which	('of~observation~which',)
divisions~observation~of~which	('divisions~of~observation~which',)
have~which	('which~have',)
have~observation~which	('observation~which~have',)
have~observation~of~which	('of~observation~which~have',)
been~have	('have~been',)
been~have~which	('which~have~been',)
been~have~observation~which	('observation~which~have~been',)
been~grouped	('been~grouped',)
been~grouped~have	('have~been~grouped',)
been~grouped~have~which	('which~have~been~grouped',)
grouped~into	('grouped~into',)
been~grouped~into	('been~grouped~into',)
been~grouped~have~into	('have~been~grouped~into',)
four~into	('into~four',)
four~grouped~into	('grouped~into~four',)
been~four~grouped~into	('been~grouped~into~four',)
equal-sized	('equal-sized',)
equal-sized~four	('four~equal-sized',)
equal-sized~four~into	('into~four~equal-sized',)
equal-sized~four~grouped~into	('grouped~into~four~equal-sized',)
based~set	('set~based',)
based~equal-sized~set	('equal-sized~set~based',)
based~equal-sized~four~set	('four~equal-sized~set~based',)
based~on~set	('set~based~on',)
based~equal-sized~on~set	('equal-sized~set~based~on',)
on~their	('on~their',)
based~on~their	('based~on~their',)
based~on~set~their	('set~based~on~their',)
one~quartile	('one~quartile',)
including~of	('of~including',)
including~of~one	('one~of~including',)
top	('top',)
four~top	('four~top',)
four~the~top	('the~four~top',)
four~of~the~top	('of~the~four~top',)
ranked	('ranked',)
members	('members',)
is~one	('one~is', 'is~one')
called~of~one	('one~of~called',)
first~four	('four~first',)
first~four~the	('the~four~first',)
first~four~of~the	('of~the~four~first',)
divisions~quartile	('divisions~quartile',)
divisions~four~quartile	('four~divisions~quartile',)
divisions~four~quartile~the	('the~four~divisions~quartile',)
and~divisions~of	('divisions~of~and',)
and~divisions~four~of	('four~divisions~of~and',)
denoted~observation	('observation~denoted',)
denoted~observation~of	('of~observation~denoted',)
denoted~divisions~observation~of	('divisions~of~observation~denoted',)
one~other	('one~other',)
are~of~one~the	('one~of~the~are',)
four~similarly	('four~similarly',)
four~similarly~the	('the~four~similarly',)
four~of~similarly~the	('of~the~four~similarly',)
denoted~divisions	('divisions~denoted',)
denoted~divisions~four	('four~divisions~denoted',)
denoted~divisions~four~the	('the~four~divisions~denoted',)
of~one~with	('one~of~with',)
identical~one	('one~identical',)
of~one~to	('one~of~to',)
and~divisions	('divisions~and',)
and~divisions~four	('four~divisions~and',)
and~divisions~four~the	('the~four~divisions~and',)
of~third	('of~third',)
divisions~of~third	('divisions~of~third',)
divisions~four~of~third	('four~divisions~of~third',)
following~one	('one~following',)
of~one~table	('one~of~table',)
summarizes~the	('the~summarizes', 'summarizes~the')
of~summarizes~the	('of~the~summarizes',)
of~one~summarizes~the	('one~of~the~summarizes',)
a~four	('four~a', 'a~four')
a~four~the	('the~four~a',)
a~four~of~the	('of~the~four~a',)
divisions~number	('divisions~number',)
divisions~four~number	('four~divisions~number',)
divisions~four~number~the	('the~four~divisions~number',)
common~observation	('observation~common',)
common~observation~of	('of~observation~common',)
common~divisions~observation~of	('divisions~of~observation~common',)
for~have	('have~for',)
for~have~which	('which~have~for',)
for~have~observation~which	('observation~which~have~for',)
been~computing	('been~computing',)
been~computing~have	('have~been~computing',)
been~computing~have~which	('which~have~been~computing',)
grouped~the	('grouped~the',)
been~grouped~the	('been~grouped~the',)
been~grouped~have~the	('have~been~grouped~the',)
into~position	('into~position',)
grouped~into~position	('grouped~into~position',)
been~grouped~into~position	('been~grouped~into~position',)
four~of	('four~of', 'of~four')
four~into~of	('into~four~of',)
four~grouped~into~of	('grouped~into~four~of',)
equal-sized~the	('equal-sized~the',)
equal-sized~four~the	('four~equal-sized~the',)
equal-sized~four~into~the	('into~four~equal-sized~the',)
first~set	('set~first',)
equal-sized~first~set	('equal-sized~set~first',)
equal-sized~first~four~set	('four~equal-sized~set~first',)
and~based	('based~and', 'and~based')
and~based~set	('set~based~and',)
and~based~equal-sized~set	('equal-sized~set~based~and',)
on~third	('on~third',)
based~on~third	('based~on~third',)
based~on~set~third	('set~based~on~third',)
from~statistical	('statistical~from',)
from~statistical~their	('their~statistical~from',)
from~on~statistical~their	('on~their~statistical~from',)
a~rank	('rank~a',)
a~rank~statistical	('statistical~rank~a',)
a~rank~statistical~their	('their~statistical~rank~a',)
p&nbsp;stikker	('p&nbsp;stikker',)
pers	('pers',)
comm	('comm',)
jan&nbsp;24	('jan&nbsp;24',)
four~in	('four~in', 'in~four')
four~in~the	('the~four~in',)
four~in~of~the	('of~the~four~in',)
divisions~the	('divisions~the',)
integer	('integer',)
integer~one	('one~integer',)
minitab	('minitab',)
hoaglin	('hoaglin',)
hoaglin~one	('one~hoaglin',)
et~of	('of~et',)
et~of~one	('one~of~et',)
and~one	('one~and', 'and~one')
mccabe~of	('of~mccabe',)
mccabe~of~one	('one~of~mccabe',)
mendenhall	('mendenhall',)
sincich	('sincich',)
of~sincich	('of~sincich',)
of~one~sincich	('one~of~sincich',)
freund	('freund',)
perles	('perles',)
of~perles	('of~perles',)
of~one~perles	('one~of~perles',)
descriptive~one	('one~descriptive',)
four~interquartile	('four~interquartile',)
four~interquartile~the	('the~four~interquartile',)
four~interquartile~of~the	('of~the~four~interquartile',)
quartile~which	('which~quartile',)
observation~quartile~which	('observation~which~quartile',)
observation~of~quartile~which	('of~observation~which~quartile',)
been~quartile	('been~quartile',)
been~have~quartile	('have~been~quartile',)
been~have~quartile~which	('which~have~been~quartile',)
variation	('variation',)
grouped~variation	('grouped~variation',)
been~grouped~variation	('been~grouped~variation',)
been~grouped~have~variation	('have~been~grouped~variation',)
and~first~where	('where~and~first',)
and~are	('are~and', 'and~are')
and~are~where	('where~are~and',)
are~the~third	('are~the~third',)
and~are~the~third	('and~are~the~third',)
and~descriptive	('and~descriptive',)
and~descriptive~where	('where~and~descriptive',)
interquartile~the	('the~interquartile',)
are~interquartile~the	('are~the~interquartile',)
and~are~interquartile~the	('and~are~the~interquartile',)
quartile~third	('third~quartile',)
and~quartile~third	('and~third~quartile',)
and~first~quartile~third	('first~and~third~quartile',)
quartile~variation	('quartile~variation',)
quartile~third~variation	('third~quartile~variation',)
and~quartile~third~variation	('and~third~quartile~variation',)
variation~where	('where~variation',)
and~are~descriptive	('and~are~descriptive',)
and~are~descriptive~where	('where~and~are~descriptive',)
first~interquartile	('first~interquartile',)
first~interquartile~the	('the~first~interquartile',)
are~first~interquartile~the	('are~the~first~interquartile',)
descriptive~setting	('setting~descriptive',)
descriptive~record~setting	('record~setting~descriptive',)
high-water~statistic	('statistic~high-water',)
descriptive~high-water~statistic	('descriptive~statistic~high-water',)
descriptive~high-water~setting~statistic	('setting~descriptive~statistic~high-water',)
regression	('regression',)
regression~to	('regression~to',)
regression~the~to	('regression~to~the', 'regression~the~to')
descriptive~mean	('mean~descriptive',)
descriptive~mean~the	('the~mean~descriptive',)
descriptive~mean~the~to	('to~the~mean~descriptive',)
reversion	('reversion',)
reversion~statistic	('statistic~reversion',)
descriptive~reversion~statistic	('descriptive~statistic~reversion',)
descriptive~mean~reversion~statistic	('mean~descriptive~statistic~reversion',)
reversion~to	('reversion~to',)
reversion~statistic~to	('statistic~reversion~to',)
descriptive~reversion~statistic~to	('descriptive~statistic~reversion~to',)
reversion~the~to	('reversion~to~the',)
reversion~statistic~the~to	('statistic~reversion~to~the',)
frequency~total	('frequency~total',)
cumulative~frequency~total	('cumulative~frequency~total',)
cumulative~frequency~the~total	('the~cumulative~frequency~total',)
in~number	('in~number', 'number~in')
frequency~in~number	('frequency~in~number',)
cumulative~frequency~in~number	('cumulative~frequency~in~number',)
a~in~of	('in~a~of', 'of~a~in')
a~frequency~in~of	('frequency~in~a~of',)
data~frequency~in	('in~frequency~data',)
descriptive~frequency	('frequency~descriptive',)
cumulative~descriptive~frequency	('cumulative~frequency~descriptive',)
cumulative~descriptive~frequency~the	('the~cumulative~frequency~descriptive',)
absolute~in	('in~absolute',)
absolute~frequency~in	('frequency~in~absolute',)
cumulative~distribution	('distribution~cumulative', 'cumulative~distribution')
cumulative~distribution~frequency	('frequency~distribution~cumulative', 'cumulative~distribution~frequency')
by~divided~frequency	('divided~by~frequency',)
by~distribution~divided~frequency	('distribution~divided~by~frequency',)
relative~total	('total~relative',)
relative~the~total	('the~total~relative',)
by~relative~the~total	('by~the~total~relative',)
ratio~the	('the~ratio', 'ratio~the')
ratio~total	('ratio~total',)
ratio~the~total	('the~ratio~total',)
number~of~ratio	('ratio~of~number',)
number~of~ratio~the	('the~ratio~of~number',)
absolute~data	('absolute~data',)
absolute~data~the	('the~absolute~data',)
absolute~data~of~the	('of~the~absolute~data',)
frequency~in~to	('frequency~to~in',)
absolute~frequency~in~to	('absolute~frequency~to~in',)
a~frequency~the~to	('frequency~to~the~a',)
descriptive~ratio	('ratio~descriptive',)
descriptive~ratio~the	('the~ratio~descriptive',)
absolute~of~the	('of~the~absolute', 'of~absolute~the', 'the~absolute~of')
absolute~of~ratio~the	('ratio~of~the~absolute',)
cumulative~frequency	('frequency~cumulative', 'cumulative~frequency')
absolute~cumulative~frequency	('absolute~frequency~cumulative',)
absolute~cumulative~frequency~the	('the~absolute~frequency~cumulative',)
frequency~the~to	('to~the~frequency',)
number~relative	('number~relative',)
number~relative~total	('total~number~relative',)
number~relative~the~total	('the~total~number~relative',)
cumulative~of	('of~cumulative',)
cumulative~number~of	('number~of~cumulative',)
cumulative~number~of~total	('total~number~of~cumulative',)
also~mean	('mean~also', 'also~mean')
also~mean~the	('the~mean~also', 'mean~also~the')
also~mean~the~to	('to~the~mean~also',)
also~called~mean	('mean~also~called', 'also~called~mean')
also~called~mean~the	('the~mean~also~called', 'mean~also~called~the', 'also~called~the~mean')
called~regression	('called~regression',)
also~called~regression	('also~called~regression',)
also~called~mean~regression	('mean~also~called~regression',)
called~regression~to	('called~regression~to',)
also~called~regression~to	('also~called~regression~to',)
called~regression~the~to	('called~regression~to~the',)
is~mean	('mean~is', 'is~mean')
is~mean~the	('the~mean~is', 'mean~is~the', 'is~mean~the', 'mean~the~is')
is~mean~the~to	('to~the~mean~is',)
mean~statistical~the	('mean~the~statistical',)
phenomenon~statistical	('statistical~phenomenon',)
phenomenon~statistical~the	('the~statistical~phenomenon',)
stating	('stating',)
phenomenon~stating	('phenomenon~stating',)
phenomenon~stating~statistical	('statistical~phenomenon~stating',)
phenomenon~stating~statistical~the	('the~statistical~phenomenon~stating',)
stating~that	('stating~that',)
phenomenon~stating~that	('phenomenon~stating~that',)
phenomenon~stating~statistical~that	('statistical~phenomenon~stating~that',)
stating~that~the	('stating~that~the',)
phenomenon~stating~that~the	('phenomenon~stating~that~the',)
greater~the	('the~greater', 'greater~the')
greater~that~the	('that~the~greater', 'that~greater~the')
greater~stating~that~the	('stating~that~the~greater',)
deviation~the	('the~deviation', 'deviation~the')
deviation~greater~the	('greater~the~deviation',)
deviation~of	('deviation~of', 'of~deviation')
deviation~of~the	('the~deviation~of', 'deviation~of~the', 'of~the~deviation', 'of~deviation~the')
deviation~greater~of~the	('greater~the~deviation~of',)
a~deviation~of	('deviation~of~a', 'deviation~a~of')
a~deviation~of~the	('the~deviation~of~a', 'deviation~of~a~the')
greater~reversion	('reversion~greater',)
probability~the~to	('to~the~probability', 'the~probability~to')
probability~reversion~the~to	('reversion~to~the~probability',)
mean~that	('mean~that',)
mean~that~the	('the~mean~that',)
mean~that~the~to	('to~the~mean~that',)
next	('next',)
called~next	('called~next',)
also~called~next	('also~called~next',)
also~called~mean~next	('mean~also~called~next',)
measured~regression	('regression~measured',)
called~measured~regression	('called~regression~measured',)
also~called~measured~regression	('also~called~regression~measured',)
to~variate	('to~variate',)
regression~to~variate	('regression~to~variate',)
called~regression~to~variate	('called~regression~to~variate',)
will	('will',)
the~will	('the~will', 'will~the')
the~to~will	('to~the~will',)
regression~the~to~will	('regression~to~the~will',)
deviate	('deviate',)
deviate~mean	('mean~deviate',)
deviate~mean~the	('the~mean~deviate',)
deviate~mean~the~to	('to~the~mean~deviate',)
is~less	('is~less',)
is~less~mean	('mean~is~less',)
is~less~mean~the	('the~mean~is~less',)
in~statistical	('statistical~in', 'in~statistical')
in~statistical~the	('the~statistical~in',)
other~phenomenon	('phenomenon~other',)
other~phenomenon~statistical	('statistical~phenomenon~other',)
an~that	('that~an', 'an~that')
an~stating~that	('stating~that~an',)
an~phenomenon~stating~that	('phenomenon~stating~that~an',)
extreme	('extreme',)
extreme~the	('the~extreme',)
extreme~that~the	('that~the~extreme',)
extreme~stating~that~the	('stating~that~the~extreme',)
event~greater	('greater~event',)
event~greater~the	('the~greater~event',)
event~greater~that~the	('that~the~greater~event',)
greater~is~the	('greater~the~is',)
deviation~likely	('deviation~likely',)
deviation~likely~the	('the~deviation~likely',)
deviation~greater~likely~the	('greater~the~deviation~likely',)
deviation~of~to	('deviation~of~to',)
deviation~of~the~to	('the~deviation~of~to',)
a~be~of	('of~a~be', 'be~a~of')
a~be~deviation~of	('deviation~of~a~be',)
followed	('followed',)
followed~random	('random~followed',)
followed~of~random	('of~random~followed',)
by~variate	('variate~by',)
by~random~variate	('random~variate~by',)
a~from~variate	('variate~from~a',)
a~from~random~variate	('random~variate~from~a',)
it~less	('it~less',)
from~it~less	('from~it~less',)
from~it~less~variate	('variate~from~it~less',)
extreme~mean	('mean~extreme',)
extreme~it~mean	('it~mean~extreme',)
extreme~from~it~mean	('from~it~mean~extreme',)
reversion~this	('reversion~this',)
phenomenon~reversion~to	('reversion~to~phenomenon',)
appears~the	('the~appears',)
appears~the~to	('to~the~appears',)
appears~reversion~the~to	('reversion~to~the~appears',)
mean~to	('mean~to', 'to~mean')
mean~the~to	('the~mean~to', 'to~the~mean', 'mean~the~to', 'to~mean~the')
violate	('violate',)
also~violate	('also~violate',)
also~mean~violate	('mean~also~violate',)
also~mean~the~violate	('the~mean~also~violate',)
definition~regression	('regression~definition',)
called~definition~regression	('called~regression~definition',)
also~called~definition~regression	('also~called~regression~definition',)
of~regression~to	('regression~to~of',)
called~of~regression~to	('called~regression~to~of',)
simply	('simply',)
reversion~simply	('reversion~simply',)
reflects	('reflects',)
reflects~to	('to~reflects',)
reflects~reversion~to	('reversion~to~reflects',)
fact~mean	('mean~fact',)
fact~mean~the	('the~mean~fact',)
fact~mean~the~to	('to~the~mean~fact',)
also~that	('also~that', 'that~also')
also~mean~that	('mean~also~that',)
also~mean~that~the	('the~mean~also~that',)
density~reversion	('reversion~density',)
any~reversion	('reversion~any',)
random~to	('to~random', 'random~to')
random~reversion~to	('reversion~to~random',)
the~to~variable	('to~the~variable',)
reversion~the~to~variable	('reversion~to~the~variable',)
is~reversion~to	('reversion~to~is',)
nonnegative	('nonnegative',)
nonnegative~the	('the~nonnegative',)
nonnegative~the~to	('to~the~nonnegative',)
nonnegative~reversion~the~to	('reversion~to~the~nonnegative',)
mean~over	('mean~over',)
mean~over~the	('the~mean~over',)
mean~over~the~to	('to~the~mean~over',)
also~every	('also~every',)
also~every~mean	('mean~also~every',)
also~every~mean~the	('the~mean~also~every',)
called~interval	('called~interval',)
also~called~interval	('also~called~interval',)
also~called~interval~mean	('mean~also~called~interval',)
and~regression	('regression~and',)
and~called~regression	('called~regression~and',)
also~and~called~regression	('also~called~regression~and',)
integrates	('integrates',)
integrates~to	('to~integrates',)
integrates~regression~to	('regression~to~integrates',)
called~integrates~regression~to	('called~regression~to~integrates',)
mean~one	('mean~one',)
mean~one~the	('the~mean~one',)
mean~one~the~to	('to~the~mean~one',)
is~over	('is~over',)
is~mean~over	('mean~is~over',)
is~mean~over~the	('the~mean~is~over',)
interval~statistical	('statistical~interval',)
interval~statistical~the	('the~statistical~interval',)
thus	('thus',)
as~reversion	('reversion~as',)
you	('you',)
to~you	('to~you',)
reversion~to~you	('reversion~to~you',)
move	('move',)
move~the	('the~move',)
move~the~to	('to~the~move',)
move~reversion~the~to	('reversion~to~the~move',)
away	('away',)
away~mean	('mean~away',)
away~mean~the	('the~mean~away',)
away~mean~the~to	('to~the~mean~away',)
also~from	('also~from', 'from~also')
also~from~mean	('mean~also~from',)
also~from~mean~the	('the~mean~also~from',)
proportion~reversion	('reversion~proportion',)
of~reversion~to	('reversion~to~of',)
distribution~mean	('mean~distribution', 'distribution~mean')
distribution~mean~the	('the~mean~distribution',)
distribution~mean~the~to	('to~the~mean~distribution',)
closer	('closer',)
closer~regression	('regression~closer',)
called~closer~regression	('called~regression~closer',)
also~called~closer~regression	('also~called~regression~closer',)
is~than	('is~than',)
is~mean~than	('mean~is~than',)
is~mean~than~the	('the~mean~is~than',)
the~you	('the~you',)
is~the~you	('is~the~you',)
is~mean~the~you	('mean~is~the~you',)
do~statistical	('statistical~do',)
do~statistical~the	('the~statistical~do',)
increases~phenomenon	('phenomenon~increases',)
increases~phenomenon~statistical	('statistical~phenomenon~increases',)
increases~phenomenon~statistical~the	('the~statistical~phenomenon~increases',)
continuously	('continuously',)
formally	('formally',)
reversion~season	('reversion~season',)
episode~to	('to~episode',)
episode~reversion~to	('reversion~to~episode',)
sniper	('sniper',)
reversion~the	('reversion~the',)
television~to	('to~television',)
reversion~television~to	('reversion~to~television',)
crime~the	('the~crime',)
crime~the~to	('to~the~crime',)
crime~reversion~the~to	('reversion~to~the~crime',)
drama~mean	('mean~drama',)
drama~mean~the	('the~mean~drama',)
drama~mean~the~to	('to~the~mean~drama',)
mentions	('mentions',)
regression~reversion	('reversion~regression',)
given~running	('given~running',)
given~maxima	('given~maxima',)
given~unique	('given~unique',)
running~value	('value~running',)
of~running~value	('of~value~running',)
of~running~sequence~value	('sequence~of~value~running',)
maximum~the	('the~maximum', 'maximum~the')
maximum~of~the~value	('of~value~the~maximum',)
are~running	('running~are',)
are~running~the	('the~running~are',)
are~running~the~value	('value~the~running~are',)
maxima~sometimes	('maxima~sometimes',)
maxima~running~sometimes	('running~maxima~sometimes',)
maxima~running~sometimes~the	('the~running~maxima~sometimes',)
are~known	('are~known', 'known~are')
are~known~maxima	('maxima~are~known',)
are~known~maxima~running	('running~maxima~are~known',)
are~as~the	('are~the~as',)
are~as~maxima~the	('maxima~are~the~as',)
a~high	('a~high',)
a~given~high	('given~a~high',)
water	('water',)
sequence~water	('sequence~water',)
given~sequence~water	('given~sequence~water',)
for~of~value	('of~value~for', 'value~for~of', 'value~of~for')
for~of~sequence~value	('sequence~of~value~for',)
above~running	('running~above',)
above~running~the	('the~running~above',)
above~running~the~value	('value~the~running~above',)
maxima~sequence	('maxima~sequence',)
maxima~running~sequence	('running~maxima~sequence',)
maxima~running~sequence~the	('the~running~maxima~sequence',)
are~maxima	('maxima~are',)
are~maxima~running	('running~maxima~are',)
high-water~of~sequence	('sequence~of~high-water',)
local~the	('the~local',)
local~the~value	('value~the~local',)
local~of~the~value	('of~value~the~local',)
score	('score',)
score~the	('the~score', 'score~the')
function~score	('score~function',)
function~score~the	('the~score~function',)
derivative	('derivative',)
log-likelihood	('log-likelihood',)
score~standard	('score~standard',)
score~standard~the	('the~score~standard',)
defining	('defining',)
the~thus	('the~thus',)
score~that	('score~that',)
score~that~the	('the~score~that',)
above~score	('score~above',)
above~score~the	('the~score~above',)
formulation	('formulation',)
formulation~function	('function~formulation',)
formulation~function~score	('score~function~formulation',)
formulation~function~score~the	('the~score~function~formulation',)
function~is~of	('function~is~of',)
function~is~of~score	('score~function~is~of',)
can~the	('the~can', 'can~the')
easily~score	('score~easily',)
easily~score~the	('the~score~easily',)
compute	('compute',)
