with	{'0': 1, '2': 1, '5': 3, '10': 1, '7': 1, '12': 1, '18': 2, '19': 1, '20': 2, '21': 1, '22': 5, '23': 1, '24': 1, '25': 4, '27': 1, '36': 4, '38': 4, '28': 2, '26': 1, '43': 7, '47': 19, '46': 16, '40': 16, '50': 9, '48': 25, '42': 4, '52': 12, '54': 8, '55': 13, '49': 9, '44': 2, '45': 10, '51': 15, '35': 2, '56': 4, '58': 15, '57': 6, '39': 8, '63': 5, '64': 3, '59': 2, '60': 5, '30': 1, '32': 3, '65': 8, '66': 3, '67': 9, '68': 16, '77': 6, '69': 28, '70': 8, '62': 3, '71': 10, '72': 9, '41': 3, '78': 15, '76': 5, '81': 4, '75': 2, '84': 6, '83': 2, '85': 2, '90': 4, '88': 1, '91': 7, '89': 2, '93': 5, '96': 2, '101': 2, '104': 9, '107': 1, '94': 7, '102': 1, '109': 1, '53': 3, '110': 1, '105': 3, '108': 1, '114': 1, '112': 2, '115': 2, '61': 2, '116': 1, '74': 1}
begin~with	{'0': 1}
distribution~begin~with	{'0': 1}
observed~distribution~begin~with	{'0': 1}
with~a	{'0': 1, '7': 1, '44': 1, '43': 1, '50': 1, '45': 1, '85': 1, '96': 1, '69': 1, '49': 2, '72': 1, '71': 1, '74': 1}
begin~with~a	{'0': 1}
distribution~begin~with~a	{'0': 1}
prior	{'0': 6, '42': 1, '43': 2, '46': 1, '60': 2, '77': 1, '104': 1}
may	{'0': 1, '7': 1, '23': 1, '43': 2, '52': 1, '47': 1, '48': 1, '50': 1, '59': 4, '49': 2, '64': 1, '67': 1, '68': 3, '46': 2, '78': 3, '54': 2, '81': 5, '55': 1, '82': 1, '70': 1, '92': 1, '98': 1, '102': 1, '108': 1, '69': 1}
bayesian~may	{'0': 1}
